"Run 1: Time (s)","Run 1: Temperature (°C)","Run 1: Temperature (°C)"
2.59,0.3,0.9
2.60,0.3,0.9
2.61,0.2,0.9
2.62,0.8,1.0
2.63,-0.0,0.8
2.64,0.3,0.9
2.65,0.3,0.9
2.66,0.2,0.9
2.67,0.6,1.0
2.68,-0.0,0.8
2.69,0.3,0.9
2.70,0.3,0.9
2.71,0.2,0.9
2.72,0.5,1.0
2.73,-0.0,0.8
2.74,0.3,0.9
2.75,0.3,0.9
2.76,0.3,0.9
2.77,0.5,1.0
2.78,-0.0,0.8
2.79,0.3,0.9
2.80,0.3,0.9
2.81,0.3,0.9
2.82,0.6,1.0
2.83,-0.0,0.8
2.84,0.3,0.9
2.85,0.3,0.9
2.86,0.3,0.9
2.87,0.6,1.0
2.88,-0.0,0.8
2.89,0.3,0.9
2.90,0.2,0.9
2.91,0.3,0.9
2.92,0.6,1.0
2.93,-0.1,0.7
2.94,0.3,0.9
2.95,0.2,0.9
2.96,0.2,0.9
2.97,0.6,1.1
2.98,-0.0,0.8
2.99,0.3,0.9
3.00,0.2,0.9
3.01,0.3,0.9
3.02,0.7,1.1
3.03,-0.1,0.7
3.04,0.3,0.9
3.05,0.2,0.9
3.06,0.3,0.9
3.07,0.7,1.1
3.08,-0.0,0.7
3.09,0.3,0.9
3.10,0.3,0.9
3.11,0.2,0.8
3.12,0.8,1.1
3.13,-0.0,0.7
3.14,0.3,0.9
3.15,0.2,0.9
3.16,0.2,0.8
3.17,0.8,1.1
3.18,-0.0,0.7
3.19,0.3,0.9
3.20,0.3,0.9
3.21,0.2,0.8
3.22,0.8,1.1
3.23,-0.1,0.7
3.24,0.3,0.9
3.25,0.2,0.9
3.26,0.2,0.8
3.27,0.8,1.1
3.28,-0.1,0.7
3.29,0.3,0.9
3.30,0.2,0.8
3.31,0.2,0.8
3.32,0.8,1.1
3.33,-0.1,0.7
3.34,0.3,0.8
3.35,0.3,0.8
3.36,0.3,0.9
3.37,0.8,1.1
3.38,-0.1,0.7
3.39,0.3,0.9
3.40,0.3,0.9
3.41,0.2,0.8
3.42,0.8,1.0
3.43,-0.1,0.7
3.44,0.3,0.8
3.45,0.3,0.8
3.46,0.2,0.8
3.47,0.7,1.0
3.48,-0.1,0.7
3.49,0.3,0.8
3.50,0.3,0.8
3.51,0.2,0.8
3.52,0.6,1.0
3.53,-0.1,0.7
3.54,0.3,0.8
3.55,0.3,0.9
3.56,0.2,0.8
3.57,0.6,1.0
3.58,-0.1,0.7
3.59,0.2,0.8
3.60,0.2,0.8
3.61,0.2,0.8
3.62,0.7,1.0
3.63,-0.1,0.7
3.64,0.3,0.8
3.65,0.3,0.9
3.66,0.2,0.8
3.67,0.6,0.9
3.68,-0.1,0.7
3.69,0.3,0.8
3.70,0.2,0.8
3.71,0.2,0.8
3.72,0.6,0.9
3.73,-0.0,0.7
3.74,0.3,0.8
3.75,0.3,0.8
3.76,0.2,0.8
3.77,0.6,0.9
3.78,-0.1,0.7
3.79,0.3,0.8
3.80,0.2,0.8
3.81,0.3,0.8
3.82,0.6,0.9
3.83,-0.0,0.7
3.84,0.3,0.8
3.85,0.3,0.8
3.86,0.2,0.8
3.87,0.6,0.9
3.88,-0.0,0.7
3.89,0.3,0.8
3.90,0.3,0.8
3.91,0.2,0.8
3.92,0.7,0.9
3.93,0.1,0.7
3.94,0.3,0.8
3.95,0.4,0.8
3.96,0.2,0.7
3.97,0.7,0.9
3.98,0.1,0.7
3.99,0.3,0.8
4.00,0.3,0.8
4.01,0.2,0.8
4.02,0.7,0.9
4.03,0.0,0.7
4.04,0.3,0.8
4.05,0.3,0.8
4.06,0.3,0.8
4.07,0.7,0.9
